iter	Logloss
0	0.6681973086
1	0.6411947442
2	0.6252963706
3	0.6073291357
4	0.5916080875
5	0.5813007122
6	0.5765892649
7	0.5686577197
8	0.5617131964
9	0.5583012034
10	0.552050433
11	0.5501081918
12	0.5466014153
13	0.5415414505
14	0.5375230564
15	0.5362410803
16	0.5348252612
17	0.5316022325
18	0.5293800995
19	0.52698393
20	0.5259099752
21	0.5250466729
22	0.5240500706
23	0.5220583216
24	0.5205068337
25	0.5196911822
26	0.5185540592
27	0.5167617901
28	0.5159444348
29	0.5140217832
30	0.5134092599
31	0.5128719745
32	0.5126290264
33	0.5121081903
34	0.5107176871
35	0.5099851277
36	0.50949345
37	0.5089658217
38	0.5082785193
39	0.507324035
40	0.5068358499
41	0.5055888732
42	0.5051035076
43	0.5040541963
44	0.5035542479
45	0.5031057749
46	0.5015793006
47	0.5012659326
48	0.5009047256
49	0.5000653882
50	0.4995851701
51	0.4989353618
52	0.4983279741
53	0.4978720356
54	0.4973891013
55	0.4967962474
56	0.4965422257
57	0.496063477
58	0.4957835409
59	0.4952561436
60	0.4948487758
61	0.4945933351
62	0.4940134598
63	0.493640988
64	0.4934304225
65	0.4927197438
66	0.492440102
67	0.4921368356
68	0.4918916936
69	0.491406542
70	0.4910729089
71	0.490840865
72	0.490499986
73	0.490264418
74	0.4898501993
75	0.4892771788
76	0.4890144775
77	0.4886412039
78	0.4879155265
79	0.487335957
80	0.4867507352
81	0.486490936
82	0.4860920576
83	0.4855025861
84	0.4852209493
85	0.4849654955
86	0.4846432007
87	0.4843728509
88	0.4838595832
89	0.4836521673
90	0.4834234909
91	0.4831270494
92	0.4828689001
93	0.4825746548
94	0.4823928624
95	0.4821660362
96	0.4817659552
97	0.4813357375
98	0.4811424684
99	0.4809606166
100	0.4808228412
101	0.4803295367
102	0.4800495014
103	0.4796864028
104	0.4792824801
105	0.4788569409
106	0.4786126312
107	0.4781768652
108	0.4777922103
109	0.4775003627
110	0.4771173201
111	0.4768086466
112	0.4764806101
113	0.4760998379
114	0.4757042557
115	0.4753836058
116	0.4748067749
117	0.4744680237
118	0.4743489204
119	0.4739001576
120	0.4736363963
121	0.4733468747
122	0.4729149195
123	0.4724917499
124	0.4719321434
125	0.4716249759
126	0.4713036838
127	0.4706552416
128	0.4701914675
129	0.469786435
130	0.4693379902
131	0.4686257608
132	0.4682721069
133	0.4679132008
134	0.4676194957
135	0.4672324733
136	0.4667557559
137	0.466351793
138	0.4661279268
139	0.4656524441
140	0.4653588957
141	0.4649571723
142	0.4646582492
143	0.4642740346
144	0.4639036546
145	0.4636295288
146	0.4632702742
147	0.462711771
148	0.4623394653
149	0.4619793523
150	0.4616453199
151	0.4613147364
152	0.4610446326
153	0.4607105466
154	0.4602602705
155	0.4597675185
156	0.4595141396
157	0.4591994139
158	0.4589335493
159	0.4586026866
160	0.4582510547
161	0.4578501976
162	0.4575244899
163	0.4571468983
164	0.4565366284
165	0.4562620091
166	0.4560489634
167	0.455711841
168	0.4554392101
169	0.4550510522
170	0.4546203994
171	0.4542442068
172	0.4539788851
173	0.4537911289
174	0.4533041663
175	0.4530557352
176	0.4528342906
177	0.4525790705
178	0.4522987516
179	0.4520479044
180	0.4517685137
181	0.4512967119
182	0.4508026796
183	0.4504612714
184	0.4501885283
185	0.4499588715
186	0.4497549197
187	0.4494505613
188	0.4490928296
189	0.4488219918
190	0.4485912135
191	0.448257027
192	0.4478927523
193	0.4475556778
194	0.4472151721
195	0.4469116543
196	0.4465085546
197	0.4459854187
198	0.4457198202
199	0.4453928994
